,project,fuzzer,run,edges_found
0,exiv2,FOX-SCHED,004,6187
1,exiv2,FOX-SCHED,006,6108
2,exiv2,FOX-SCHED,003,6236
3,exiv2,FOX-SCHED,002,6735
4,exiv2,FOX-SCHED,008,6086
5,exiv2,FOX-SCHED,005,6014
6,exiv2,FOX-SCHED,009,6097
7,exiv2,FOX-SCHED,007,6640
8,exiv2,FOX-SCHED,001,6112
9,exiv2,FOX-SCHED,000,6692
10,tcpdump,FOX,004,6411
11,tcpdump,FOX,006,6570
12,tcpdump,FOX,003,5068
13,tcpdump,FOX,002,5975
14,tcpdump,FOX,008,6150
15,tcpdump,FOX,005,5967
16,tcpdump,FOX,009,5323
17,tcpdump,FOX,007,6159
18,tcpdump,FOX,001,5929
19,tcpdump,FOX,000,5202
20,readelf,FOX,004,3111
21,readelf,FOX,006,3129
22,readelf,FOX,003,3237
23,readelf,FOX,002,3167
24,readelf,FOX,008,3065
25,readelf,FOX,005,4057
26,readelf,FOX,009,3064
27,readelf,FOX,007,3237
28,readelf,FOX,001,3202
29,readelf,FOX,000,3084
30,jasper,FOX-BASE,004,2855
31,jasper,FOX-BASE,006,2961
32,jasper,FOX-BASE,003,2825
33,jasper,FOX-BASE,002,2822
34,jasper,FOX-BASE,008,2843
35,jasper,FOX-BASE,005,2073
36,jasper,FOX-BASE,009,2911
37,jasper,FOX-BASE,007,2891
38,jasper,FOX-BASE,001,2926
39,jasper,FOX-BASE,000,2761
40,xmllint,FOX-BASE,004,4267
41,xmllint,FOX-BASE,006,4481
42,xmllint,FOX-BASE,003,4285
43,xmllint,FOX-BASE,002,4501
44,xmllint,FOX-BASE,008,4564
45,xmllint,FOX-BASE,005,4460
46,xmllint,FOX-BASE,009,4568
47,xmllint,FOX-BASE,007,4333
48,xmllint,FOX-BASE,001,4402
49,xmllint,FOX-BASE,000,4430
50,objdump,FOX,004,4886
51,objdump,FOX,006,4788
52,objdump,FOX,003,5150
53,objdump,FOX,002,4734
54,objdump,FOX,008,4920
55,objdump,FOX,005,5076
56,objdump,FOX,009,4898
57,objdump,FOX,007,5386
58,objdump,FOX,001,5008
59,objdump,FOX,000,5118
60,exiv2,FOX,004,6752
61,exiv2,FOX,006,6401
62,exiv2,FOX,003,6953
63,exiv2,FOX,002,6856
64,exiv2,FOX,008,6930
65,exiv2,FOX,005,6570
66,exiv2,FOX,009,6314
67,exiv2,FOX,007,6551
68,exiv2,FOX,001,6403
69,exiv2,FOX,000,6335
70,pdftotext,FOX,004,2828
71,pdftotext,FOX,006,2141
72,pdftotext,FOX,003,2109
73,pdftotext,FOX,002,2112
74,pdftotext,FOX,008,2823
75,pdftotext,FOX,005,2798
76,pdftotext,FOX,009,2796
77,pdftotext,FOX,007,2766
78,pdftotext,FOX,001,2636
79,pdftotext,FOX,000,2661
80,strip-new,FOX-BASE,004,4297
81,strip-new,FOX-BASE,006,4385
82,strip-new,FOX-BASE,003,4258
83,strip-new,FOX-BASE,002,4391
84,strip-new,FOX-BASE,008,4467
85,strip-new,FOX-BASE,005,4346
86,strip-new,FOX-BASE,009,4316
87,strip-new,FOX-BASE,007,4339
88,strip-new,FOX-BASE,001,3921
89,strip-new,FOX-BASE,000,4173
90,strip-new,FOX-SCHED,004,4277
91,strip-new,FOX-SCHED,006,4868
92,strip-new,FOX-SCHED,003,4803
93,strip-new,FOX-SCHED,002,4824
94,strip-new,FOX-SCHED,008,4470
95,strip-new,FOX-SCHED,005,4836
96,strip-new,FOX-SCHED,009,4600
97,strip-new,FOX-SCHED,007,4854
98,strip-new,FOX-SCHED,001,4650
99,strip-new,FOX-SCHED,000,4972
100,xmllint,FOX,004,4211
101,xmllint,FOX,006,4218
102,xmllint,FOX,003,4224
103,xmllint,FOX,002,4128
104,xmllint,FOX,008,4083
105,xmllint,FOX,005,4385
106,xmllint,FOX,009,4282
107,xmllint,FOX,007,4286
108,xmllint,FOX,001,4160
109,xmllint,FOX,000,4218
110,tcpdump,FOX-SCHED,004,4796
111,tcpdump,FOX-SCHED,006,4710
112,tcpdump,FOX-SCHED,003,5703
113,tcpdump,FOX-SCHED,002,6677
114,tcpdump,FOX-SCHED,008,5698
115,tcpdump,FOX-SCHED,005,5575
116,tcpdump,FOX-SCHED,009,5802
117,tcpdump,FOX-SCHED,007,5326
118,tcpdump,FOX-SCHED,001,5307
119,tcpdump,FOX-SCHED,000,5637
120,exiv2,FOX-BASE,004,6058
121,exiv2,FOX-BASE,006,6026
122,exiv2,FOX-BASE,003,6518
123,exiv2,FOX-BASE,002,6023
124,exiv2,FOX-BASE,008,6595
125,exiv2,FOX-BASE,005,6084
126,exiv2,FOX-BASE,009,5999
127,exiv2,FOX-BASE,007,6097
128,exiv2,FOX-BASE,001,6067
129,exiv2,FOX-BASE,000,6057
130,tiff2ps,FOX,004,4345
131,tiff2ps,FOX,006,4622
132,tiff2ps,FOX,003,4264
133,tiff2ps,FOX,002,4331
134,tiff2ps,FOX,008,4185
135,tiff2ps,FOX,005,4577
136,tiff2ps,FOX,009,4317
137,tiff2ps,FOX,007,4214
138,tiff2ps,FOX,001,4669
139,tiff2ps,FOX,000,4209
140,jasper,FOX,004,3083
141,jasper,FOX,006,3188
142,jasper,FOX,003,3269
143,jasper,FOX,002,3211
144,jasper,FOX,008,3199
145,jasper,FOX,005,3119
146,jasper,FOX,009,3143
147,jasper,FOX,007,3152
148,jasper,FOX,001,3045
149,jasper,FOX,000,3124
150,size,FOX-SCHED,004,2313
151,size,FOX-SCHED,006,2247
152,size,FOX-SCHED,003,2517
153,size,FOX-SCHED,002,2451
154,size,FOX-SCHED,008,2139
155,size,FOX-SCHED,005,2490
156,size,FOX-SCHED,009,2315
157,size,FOX-SCHED,007,2447
158,size,FOX-SCHED,001,2322
159,size,FOX-SCHED,000,2266
160,tiff2pdf,FOX-SCHED,004,6465
161,tiff2pdf,FOX-SCHED,006,6683
162,tiff2pdf,FOX-SCHED,003,5716
163,tiff2pdf,FOX-SCHED,002,5551
164,tiff2pdf,FOX-SCHED,008,6217
165,tiff2pdf,FOX-SCHED,005,5680
166,tiff2pdf,FOX-SCHED,009,6468
167,tiff2pdf,FOX-SCHED,007,5419
168,tiff2pdf,FOX-SCHED,001,5560
169,tiff2pdf,FOX-SCHED,000,5743
170,tiff2ps,FOX-SCHED,004,4300
171,tiff2ps,FOX-SCHED,006,4662
172,tiff2ps,FOX-SCHED,003,4723
173,tiff2ps,FOX-SCHED,002,4680
174,tiff2ps,FOX-SCHED,008,4286
175,tiff2ps,FOX-SCHED,005,4647
176,tiff2ps,FOX-SCHED,009,4033
177,tiff2ps,FOX-SCHED,007,4591
178,tiff2ps,FOX-SCHED,001,4568
179,tiff2ps,FOX-SCHED,000,4093
180,ffmpeg,FOX-BASE,004,15825
181,ffmpeg,FOX-BASE,006,16271
182,ffmpeg,FOX-BASE,003,13225
183,ffmpeg,FOX-BASE,002,16884
184,ffmpeg,FOX-BASE,008,16551
185,ffmpeg,FOX-BASE,005,17201
186,ffmpeg,FOX-BASE,009,17330
187,ffmpeg,FOX-BASE,007,16374
188,ffmpeg,FOX-BASE,001,17025
189,ffmpeg,FOX-BASE,000,16227
190,xmllint,FOX-SCHED,004,4096
191,xmllint,FOX-SCHED,006,4231
192,xmllint,FOX-SCHED,003,4278
193,xmllint,FOX-SCHED,002,4067
194,xmllint,FOX-SCHED,008,4034
195,xmllint,FOX-SCHED,005,4080
196,xmllint,FOX-SCHED,009,3901
197,xmllint,FOX-SCHED,007,4055
198,xmllint,FOX-SCHED,001,4039
199,xmllint,FOX-SCHED,000,4118
200,ffmpeg,FOX-SCHED,004,17788
201,ffmpeg,FOX-SCHED,006,17707
202,ffmpeg,FOX-SCHED,003,15736
203,ffmpeg,FOX-SCHED,002,18447
204,ffmpeg,FOX-SCHED,008,17165
205,ffmpeg,FOX-SCHED,005,16324
206,ffmpeg,FOX-SCHED,009,17670
207,ffmpeg,FOX-SCHED,007,18099
208,ffmpeg,FOX-SCHED,001,17006
209,ffmpeg,FOX-SCHED,000,16777
210,tiffcrop,FOX-BASE,004,6405
211,tiffcrop,FOX-BASE,006,7050
212,tiffcrop,FOX-BASE,003,6253
213,tiffcrop,FOX-BASE,002,6361
214,tiffcrop,FOX-BASE,008,6802
215,tiffcrop,FOX-BASE,005,7268
216,tiffcrop,FOX-BASE,009,6403
217,tiffcrop,FOX-BASE,007,6872
218,tiffcrop,FOX-BASE,001,6483
219,tiffcrop,FOX-BASE,000,6359
220,pdftotext,FOX-BASE,004,1797
221,pdftotext,FOX-BASE,006,1776
222,pdftotext,FOX-BASE,003,2430
