,project,fuzzer,run,edges_found,hour
0,bloaty,AFLPP,000,6861,1
1,bloaty,AFLPP,000,7262,2
2,bloaty,AFLPP,000,7361,3
3,bloaty,AFLPP,000,7405,4
4,bloaty,AFLPP,000,7443,5
5,bloaty,AFLPP,000,7488,6
6,bloaty,AFLPP,000,7728,7
7,bloaty,AFLPP,000,7861,8
8,bloaty,AFLPP,000,7877,9
9,bloaty,AFLPP,000,7901,10
10,bloaty,AFLPP,000,8028,11
11,bloaty,AFLPP,000,8056,12
12,bloaty,AFLPP,000,8166,13
13,bloaty,AFLPP,000,8173,14
14,bloaty,AFLPP,000,8205,15
15,bloaty,AFLPP,000,8261,16
16,bloaty,AFLPP,000,8343,17
17,bloaty,AFLPP,000,8360,18
18,bloaty,AFLPP,000,8373,19
19,bloaty,AFLPP,000,8396,20
20,bloaty,AFLPP,000,8474,21
21,bloaty,AFLPP,000,8478,22
22,bloaty,AFLPP,000,8495,23
23,bloaty,AFLPP,000,8500,24
24,bloaty,AFLPP,001,6982,1
25,bloaty,AFLPP,001,7337,2
26,bloaty,AFLPP,001,7572,3
27,bloaty,AFLPP,001,7668,4
28,bloaty,AFLPP,001,7699,5
29,bloaty,AFLPP,001,7739,6
30,bloaty,AFLPP,001,7785,7
31,bloaty,AFLPP,001,7855,8
32,bloaty,AFLPP,001,7873,9
33,bloaty,AFLPP,001,7940,10
34,bloaty,AFLPP,001,7953,11
35,bloaty,AFLPP,001,7977,12
36,bloaty,AFLPP,001,8137,13
37,bloaty,AFLPP,001,8160,14
38,bloaty,AFLPP,001,8174,15
39,bloaty,AFLPP,001,8180,16
40,bloaty,AFLPP,001,8186,17
41,bloaty,AFLPP,001,8195,18
42,bloaty,AFLPP,001,8211,19
43,bloaty,AFLPP,001,8243,20
44,bloaty,AFLPP,001,8270,21
45,bloaty,AFLPP,001,8292,22
46,bloaty,AFLPP,001,8386,23
47,bloaty,AFLPP,001,8415,24
48,bloaty,AFLPP,002,6871,1
49,bloaty,AFLPP,002,7242,2
50,bloaty,AFLPP,002,7408,3
51,bloaty,AFLPP,002,7518,4
52,bloaty,AFLPP,002,7618,5
53,bloaty,AFLPP,002,7645,6
54,bloaty,AFLPP,002,7742,7
55,bloaty,AFLPP,002,7904,8
56,bloaty,AFLPP,002,7934,9
57,bloaty,AFLPP,002,7949,10
58,bloaty,AFLPP,002,7950,11
59,bloaty,AFLPP,002,7967,12
60,bloaty,AFLPP,002,7993,13
61,bloaty,AFLPP,002,8003,14
62,bloaty,AFLPP,002,8008,15
63,bloaty,AFLPP,002,8009,16
64,bloaty,AFLPP,002,8051,17
65,bloaty,AFLPP,002,8101,18
66,bloaty,AFLPP,002,8115,19
67,bloaty,AFLPP,002,8203,20
68,bloaty,AFLPP,002,8210,21
69,bloaty,AFLPP,002,8215,22
70,bloaty,AFLPP,002,8220,23
71,bloaty,AFLPP,002,8231,24
72,bloaty,AFLPP,003,7055,1
73,bloaty,AFLPP,003,7230,2
74,bloaty,AFLPP,003,7352,3
75,bloaty,AFLPP,003,7454,4
76,bloaty,AFLPP,003,7525,5
77,bloaty,AFLPP,003,7557,6
78,bloaty,AFLPP,003,7589,7
79,bloaty,AFLPP,003,7695,8
80,bloaty,AFLPP,003,8098,9
81,bloaty,AFLPP,003,8165,10
82,bloaty,AFLPP,003,8201,11
83,bloaty,AFLPP,003,8203,12
84,bloaty,AFLPP,003,8217,13
85,bloaty,AFLPP,003,8242,14
86,bloaty,AFLPP,003,8259,15
87,bloaty,AFLPP,003,8264,16
88,bloaty,AFLPP,003,8269,17
89,bloaty,AFLPP,003,8333,18
90,bloaty,AFLPP,003,8379,19
91,bloaty,AFLPP,003,8411,20
92,bloaty,AFLPP,003,8412,21
93,bloaty,AFLPP,003,8418,22
94,bloaty,AFLPP,003,8450,23
95,bloaty,AFLPP,003,8456,24
96,bloaty,AFLPP,004,7160,1
97,bloaty,AFLPP,004,7289,2
98,bloaty,AFLPP,004,7388,3
99,bloaty,AFLPP,004,7445,4
100,bloaty,AFLPP,004,7530,5
101,bloaty,AFLPP,004,7567,6
102,bloaty,AFLPP,004,7602,7
103,bloaty,AFLPP,004,7655,8
104,bloaty,AFLPP,004,7731,9
105,bloaty,AFLPP,004,7757,10
106,bloaty,AFLPP,004,7866,11
107,bloaty,AFLPP,004,7880,12
108,bloaty,AFLPP,004,8041,13
109,bloaty,AFLPP,004,8064,14
110,bloaty,AFLPP,004,8081,15
111,bloaty,AFLPP,004,8142,16
112,bloaty,AFLPP,004,8148,17
113,bloaty,AFLPP,004,8205,18
114,bloaty,AFLPP,004,8317,19
115,bloaty,AFLPP,004,8345,20
116,bloaty,AFLPP,004,8425,21
117,bloaty,AFLPP,004,8428,22
118,bloaty,AFLPP,004,8580,23
119,bloaty,AFLPP,004,8586,24
120,bloaty,AFLPP,005,7130,1
121,bloaty,AFLPP,005,7277,2
122,bloaty,AFLPP,005,7388,3
123,bloaty,AFLPP,005,7527,4
124,bloaty,AFLPP,005,7581,5
125,bloaty,AFLPP,005,7670,6
126,bloaty,AFLPP,005,7686,7
127,bloaty,AFLPP,005,7894,8
128,bloaty,AFLPP,005,8094,9
129,bloaty,AFLPP,005,8115,10
130,bloaty,AFLPP,005,8226,11
131,bloaty,AFLPP,005,8230,12
132,bloaty,AFLPP,005,8234,13
133,bloaty,AFLPP,005,8291,14
134,bloaty,AFLPP,005,8338,15
135,bloaty,AFLPP,005,8350,16
136,bloaty,AFLPP,005,8355,17
137,bloaty,AFLPP,005,8365,18
138,bloaty,AFLPP,005,8371,19
139,bloaty,AFLPP,005,8401,20
140,bloaty,AFLPP,005,8409,21
141,bloaty,AFLPP,005,8448,22
142,bloaty,AFLPP,005,8453,23
143,bloaty,AFLPP,005,8469,24
144,bloaty,AFLPP,006,7047,1
145,bloaty,AFLPP,006,7406,2
146,bloaty,AFLPP,006,7533,3
147,bloaty,AFLPP,006,7600,4
148,bloaty,AFLPP,006,7666,5
149,bloaty,AFLPP,006,7734,6
150,bloaty,AFLPP,006,7745,7
151,bloaty,AFLPP,006,7812,8
152,bloaty,AFLPP,006,7834,9
153,bloaty,AFLPP,006,7844,10
154,bloaty,AFLPP,006,7874,11
155,bloaty,AFLPP,006,7970,12
156,bloaty,AFLPP,006,7980,13
157,bloaty,AFLPP,006,8022,14
158,bloaty,AFLPP,006,8057,15
159,bloaty,AFLPP,006,8077,16
160,bloaty,AFLPP,006,8086,17
161,bloaty,AFLPP,006,8238,18
162,bloaty,AFLPP,006,8366,19
163,bloaty,AFLPP,006,8417,20
164,bloaty,AFLPP,006,8426,21
165,bloaty,AFLPP,006,8431,22
166,bloaty,AFLPP,006,8445,23
167,bloaty,AFLPP,006,8477,24
168,bloaty,AFLPP,007,7004,1
169,bloaty,AFLPP,007,7338,2
170,bloaty,AFLPP,007,7510,3
171,bloaty,AFLPP,007,7625,4
172,bloaty,AFLPP,007,7691,5
173,bloaty,AFLPP,007,7887,6
174,bloaty,AFLPP,007,7969,7
175,bloaty,AFLPP,007,8010,8
176,bloaty,AFLPP,007,8061,9
177,bloaty,AFLPP,007,8159,10
178,bloaty,AFLPP,007,8192,11
179,bloaty,AFLPP,007,8215,12
180,bloaty,AFLPP,007,8219,13
181,bloaty,AFLPP,007,8285,14
182,bloaty,AFLPP,007,8313,15
183,bloaty,AFLPP,007,8356,16
184,bloaty,AFLPP,007,8370,17
185,bloaty,AFLPP,007,8389,18
186,bloaty,AFLPP,007,8416,19
187,bloaty,AFLPP,007,8428,20
188,bloaty,AFLPP,007,8430,21
189,bloaty,AFLPP,007,8440,22
190,bloaty,AFLPP,007,8562,23
191,bloaty,AFLPP,007,8652,24
192,bloaty,AFLPP,008,7205,1
193,bloaty,AFLPP,008,7420,2
194,bloaty,AFLPP,008,7564,3
195,bloaty,AFLPP,008,7674,4
196,bloaty,AFLPP,008,7707,5
197,bloaty,AFLPP,008,7748,6
198,bloaty,AFLPP,008,7810,7
199,bloaty,AFLPP,008,8026,8
200,bloaty,AFLPP,008,8060,9
201,bloaty,AFLPP,008,8082,10
202,bloaty,AFLPP,008,8222,11
203,bloaty,AFLPP,008,8439,12
204,bloaty,AFLPP,008,8531,13
205,bloaty,AFLPP,008,8574,14
206,bloaty,AFLPP,008,8577,15
207,bloaty,AFLPP,008,8586,16
208,bloaty,AFLPP,008,8594,17
209,bloaty,AFLPP,008,8597,18
210,bloaty,AFLPP,008,8622,19
211,bloaty,AFLPP,008,8652,20
212,bloaty,AFLPP,008,8659,21
213,bloaty,AFLPP,008,8683,22
214,bloaty,AFLPP,008,8695,23
215,bloaty,AFLPP,008,8699,24
216,bloaty,AFLPP,009,7059,1
217,bloaty,AFLPP,009,7249,2
218,bloaty,AFLPP,009,7360,3
219,bloaty,AFLPP,009,7558,4
220,bloaty,AFLPP,009,7601,5
221,bloaty,AFLPP,009,7815,6
222,bloaty,AFLPP,009,7897,7
223,bloaty,AFLPP,009,8066,8
224,bloaty,AFLPP,009,8088,9
225,bloaty,AFLPP,009,8105,10
226,bloaty,AFLPP,009,8124,11
227,bloaty,AFLPP,009,8290,12
228,bloaty,AFLPP,009,8311,13
229,bloaty,AFLPP,009,8346,14
230,bloaty,AFLPP,009,8366,15
231,bloaty,AFLPP,009,8443,16
232,bloaty,AFLPP,009,8491,17
233,bloaty,AFLPP,009,8495,18
234,bloaty,AFLPP,009,8525,19
235,bloaty,AFLPP,009,8536,20
236,bloaty,AFLPP,009,8542,21
237,bloaty,AFLPP,009,8580,22
238,bloaty,AFLPP,009,8583,23
239,bloaty,AFLPP,009,8586,24
240,bloaty,AFLPP+C,000,7215,1
241,bloaty,AFLPP+C,000,7598,2
242,bloaty,AFLPP+C,000,7736,3
243,bloaty,AFLPP+C,000,7805,4
244,bloaty,AFLPP+C,000,7834,5
245,bloaty,AFLPP+C,000,7908,6
246,bloaty,AFLPP+C,000,8005,7
247,bloaty,AFLPP+C,000,8038,8
248,bloaty,AFLPP+C,000,8062,9
249,bloaty,AFLPP+C,000,8069,10
250,bloaty,AFLPP+C,000,8079,11
251,bloaty,AFLPP+C,000,8139,12
252,bloaty,AFLPP+C,000,8254,13
253,bloaty,AFLPP+C,000,8372,14
254,bloaty,AFLPP+C,000,8492,15
255,bloaty,AFLPP+C,000,8499,16
256,bloaty,AFLPP+C,000,8507,17
257,bloaty,AFLPP+C,000,8569,18
258,bloaty,AFLPP+C,000,8570,19
259,bloaty,AFLPP+C,000,8577,20
260,bloaty,AFLPP+C,000,8592,21
261,bloaty,AFLPP+C,000,8593,22
262,bloaty,AFLPP+C,000,8595,23
263,bloaty,AFLPP+C,000,8596,24
264,bloaty,AFLPP+C,001,7051,1
265,bloaty,AFLPP+C,001,7218,2
266,bloaty,AFLPP+C,001,7420,3
267,bloaty,AFLPP+C,001,7508,4
268,bloaty,AFLPP+C,001,7636,5
269,bloaty,AFLPP+C,001,7793,6
270,bloaty,AFLPP+C,001,7893,7
271,bloaty,AFLPP+C,001,7959,8
272,bloaty,AFLPP+C,001,7991,9
273,bloaty,AFLPP+C,001,8085,10
274,bloaty,AFLPP+C,001,8109,11
275,bloaty,AFLPP+C,001,8165,12
276,bloaty,AFLPP+C,001,8209,13
277,bloaty,AFLPP+C,001,8219,14
278,bloaty,AFLPP+C,001,8379,15
279,bloaty,AFLPP+C,001,8381,16
280,bloaty,AFLPP+C,001,8385,17
281,bloaty,AFLPP+C,001,8406,18
282,bloaty,AFLPP+C,001,8415,19
283,bloaty,AFLPP+C,001,8420,20
284,bloaty,AFLPP+C,001,8440,21
285,bloaty,AFLPP+C,001,8443,22
286,bloaty,AFLPP+C,001,8567,23
287,bloaty,AFLPP+C,001,8596,24
288,bloaty,AFLPP+C,002,6972,1
289,bloaty,AFLPP+C,002,7331,2
290,bloaty,AFLPP+C,002,7558,3
291,bloaty,AFLPP+C,002,7701,4
292,bloaty,AFLPP+C,002,7817,5
293,bloaty,AFLPP+C,002,7870,6
294,bloaty,AFLPP+C,002,7958,7
295,bloaty,AFLPP+C,002,7988,8
296,bloaty,AFLPP+C,002,8019,9
297,bloaty,AFLPP+C,002,8042,10
298,bloaty,AFLPP+C,002,8083,11
299,bloaty,AFLPP+C,002,8120,12
300,bloaty,AFLPP+C,002,8187,13
301,bloaty,AFLPP+C,002,8209,14
302,bloaty,AFLPP+C,002,8229,15
303,bloaty,AFLPP+C,002,8239,16
304,bloaty,AFLPP+C,002,8245,17
305,bloaty,AFLPP+C,002,8257,18
306,bloaty,AFLPP+C,002,8266,19
307,bloaty,AFLPP+C,002,8272,20
308,bloaty,AFLPP+C,002,8296,21
309,bloaty,AFLPP+C,002,8476,22
310,bloaty,AFLPP+C,002,8493,23
311,bloaty,AFLPP+C,002,8508,24
312,bloaty,AFLPP+C,003,7137,1
313,bloaty,AFLPP+C,003,7282,2
314,bloaty,AFLPP+C,003,7568,3
315,bloaty,AFLPP+C,003,7689,4
316,bloaty,AFLPP+C,003,7817,5
317,bloaty,AFLPP+C,003,7876,6
318,bloaty,AFLPP+C,003,7969,7
319,bloaty,AFLPP+C,003,8173,8
320,bloaty,AFLPP+C,003,8205,9
321,bloaty,AFLPP+C,003,8225,10
322,bloaty,AFLPP+C,003,8260,11
323,bloaty,AFLPP+C,003,8301,12
324,bloaty,AFLPP+C,003,8327,13
325,bloaty,AFLPP+C,003,8334,14
326,bloaty,AFLPP+C,003,8403,15
327,bloaty,AFLPP+C,003,8468,16
328,bloaty,AFLPP+C,003,8602,17
329,bloaty,AFLPP+C,003,8645,18
330,bloaty,AFLPP+C,003,8669,19
331,bloaty,AFLPP+C,003,8690,20
332,bloaty,AFLPP+C,003,8697,21
333,bloaty,AFLPP+C,003,8702,22
334,bloaty,AFLPP+C,003,8714,23
335,bloaty,AFLPP+C,003,8715,24
336,bloaty,AFLPP+C,004,7148,1
337,bloaty,AFLPP+C,004,7246,2
338,bloaty,AFLPP+C,004,7652,3
339,bloaty,AFLPP+C,004,7799,4
340,bloaty,AFLPP+C,004,7856,5
341,bloaty,AFLPP+C,004,7911,6
342,bloaty,AFLPP+C,004,7946,7
343,bloaty,AFLPP+C,004,8151,8
344,bloaty,AFLPP+C,004,8180,9
345,bloaty,AFLPP+C,004,8215,10
346,bloaty,AFLPP+C,004,8252,11
347,bloaty,AFLPP+C,004,8412,12
348,bloaty,AFLPP+C,004,8439,13
349,bloaty,AFLPP+C,004,8448,14
350,bloaty,AFLPP+C,004,8557,15
351,bloaty,AFLPP+C,004,8581,16
352,bloaty,AFLPP+C,004,8600,17
353,bloaty,AFLPP+C,004,8603,18
354,bloaty,AFLPP+C,004,8613,19
355,bloaty,AFLPP+C,004,8622,20
356,bloaty,AFLPP+C,004,8652,21
357,bloaty,AFLPP+C,004,8684,22
358,bloaty,AFLPP+C,004,8778,23
359,bloaty,AFLPP+C,004,8802,24
360,bloaty,AFLPP+C,005,7277,1
361,bloaty,AFLPP+C,005,7460,2
362,bloaty,AFLPP+C,005,7497,3
363,bloaty,AFLPP+C,005,7574,4
364,bloaty,AFLPP+C,005,7628,5
365,bloaty,AFLPP+C,005,7909,6
366,bloaty,AFLPP+C,005,7943,7
367,bloaty,AFLPP+C,005,8063,8
368,bloaty,AFLPP+C,005,8108,9
369,bloaty,AFLPP+C,005,8134,10
370,bloaty,AFLPP+C,005,8159,11
371,bloaty,AFLPP+C,005,8274,12
372,bloaty,AFLPP+C,005,8282,13
373,bloaty,AFLPP+C,005,8425,14
374,bloaty,AFLPP+C,005,8493,15
375,bloaty,AFLPP+C,005,8552,16
376,bloaty,AFLPP+C,005,8608,17
377,bloaty,AFLPP+C,005,8612,18
378,bloaty,AFLPP+C,005,8641,19
379,bloaty,AFLPP+C,005,8655,20
380,bloaty,AFLPP+C,005,8662,21
381,bloaty,AFLPP+C,005,8673,22
382,bloaty,AFLPP+C,005,8678,23
383,bloaty,AFLPP+C,005,8693,24
384,bloaty,AFLPP+C,006,7291,1
385,bloaty,AFLPP+C,006,7404,2
386,bloaty,AFLPP+C,006,7507,3
387,bloaty,AFLPP+C,006,7579,4
388,bloaty,AFLPP+C,006,7653,5
389,bloaty,AFLPP+C,006,7696,6
390,bloaty,AFLPP+C,006,7790,7
391,bloaty,AFLPP+C,006,7808,8
392,bloaty,AFLPP+C,006,7839,9
393,bloaty,AFLPP+C,006,7850,10
394,bloaty,AFLPP+C,006,7856,11
395,bloaty,AFLPP+C,006,7891,12
396,bloaty,AFLPP+C,006,7909,13
397,bloaty,AFLPP+C,006,7914,14
398,bloaty,AFLPP+C,006,7979,15
399,bloaty,AFLPP+C,006,8083,16
400,bloaty,AFLPP+C,006,8129,17
401,bloaty,AFLPP+C,006,8167,18
402,bloaty,AFLPP+C,006,8295,19
403,bloaty,AFLPP+C,006,8319,20
404,bloaty,AFLPP+C,006,8341,21
405,bloaty,AFLPP+C,006,8365,22
406,bloaty,AFLPP+C,006,8379,23
407,bloaty,AFLPP+C,006,8382,24
408,bloaty,AFLPP+C,007,7206,1
409,bloaty,AFLPP+C,007,7335,2
410,bloaty,AFLPP+C,007,7485,3
411,bloaty,AFLPP+C,007,7589,4
412,bloaty,AFLPP+C,007,7789,5
413,bloaty,AFLPP+C,007,7835,6
414,bloaty,AFLPP+C,007,7914,7
415,bloaty,AFLPP+C,007,7944,8
416,bloaty,AFLPP+C,007,7948,9
417,bloaty,AFLPP+C,007,7967,10
418,bloaty,AFLPP+C,007,8022,11
419,bloaty,AFLPP+C,007,8192,12
420,bloaty,AFLPP+C,007,8202,13
421,bloaty,AFLPP+C,007,8212,14
422,bloaty,AFLPP+C,007,8252,15
423,bloaty,AFLPP+C,007,8445,16
424,bloaty,AFLPP+C,007,8460,17
425,bloaty,AFLPP+C,007,8502,18
426,bloaty,AFLPP+C,007,8503,19
427,bloaty,AFLPP+C,007,8552,20
428,bloaty,AFLPP+C,007,8595,21
429,bloaty,AFLPP+C,007,8603,22
430,bloaty,AFLPP+C,007,8630,23
431,bloaty,AFLPP+C,007,8657,24
432,bloaty,AFLPP+C,008,7176,1
433,bloaty,AFLPP+C,008,7437,2
434,bloaty,AFLPP+C,008,7723,3
435,bloaty,AFLPP+C,008,7768,4
436,bloaty,AFLPP+C,008,7828,5
437,bloaty,AFLPP+C,008,7954,6
438,bloaty,AFLPP+C,008,8000,7
439,bloaty,AFLPP+C,008,8047,8
440,bloaty,AFLPP+C,008,8100,9
441,bloaty,AFLPP+C,008,8114,10
442,bloaty,AFLPP+C,008,8207,11
443,bloaty,AFLPP+C,008,8275,12
444,bloaty,AFLPP+C,008,8288,13
445,bloaty,AFLPP+C,008,8465,14
446,bloaty,AFLPP+C,008,8475,15
447,bloaty,AFLPP+C,008,8501,16
448,bloaty,AFLPP+C,008,8513,17
449,bloaty,AFLPP+C,008,8535,18
450,bloaty,AFLPP+C,008,8552,19
451,bloaty,AFLPP+C,008,8581,20
452,bloaty,AFLPP+C,008,8628,21
453,bloaty,AFLPP+C,008,8635,22
454,bloaty,AFLPP+C,008,8646,23
455,bloaty,AFLPP+C,008,8648,24
456,bloaty,AFLPP+C,009,7113,1
457,bloaty,AFLPP+C,009,7269,2
458,bloaty,AFLPP+C,009,7465,3
459,bloaty,AFLPP+C,009,7748,4
460,bloaty,AFLPP+C,009,7832,5
461,bloaty,AFLPP+C,009,7934,6
462,bloaty,AFLPP+C,009,8137,7
463,bloaty,AFLPP+C,009,8180,8
464,bloaty,AFLPP+C,009,8312,9
465,bloaty,AFLPP+C,009,8327,10
