,project,fuzzer,run,edges_found,hour
0,bsdtar,AFLPP,0,2393,1
1,bsdtar,AFLPP,0,2415,2
2,bsdtar,AFLPP,0,2535,3
3,bsdtar,AFLPP,0,2544,4
4,bsdtar,AFLPP,0,2553,5
5,bsdtar,AFLPP,0,2553,6
6,bsdtar,AFLPP,0,2653,7
7,bsdtar,AFLPP,0,3920,8
8,bsdtar,AFLPP,0,4138,9
9,bsdtar,AFLPP,0,4266,10
10,bsdtar,AFLPP,0,4307,11
11,bsdtar,AFLPP,0,4342,12
12,bsdtar,AFLPP,0,4359,13
13,bsdtar,AFLPP,0,4368,14
14,bsdtar,AFLPP,0,4390,15
15,bsdtar,AFLPP,0,4398,16
16,bsdtar,AFLPP,0,4398,17
17,bsdtar,AFLPP,0,4404,18
18,bsdtar,AFLPP,0,4412,19
19,bsdtar,AFLPP,0,4416,20
20,bsdtar,AFLPP,0,4417,21
21,bsdtar,AFLPP,0,4419,22
22,bsdtar,AFLPP,0,4430,23
23,bsdtar,AFLPP,0,4436,24
24,bsdtar,AFLPP,1,2362,1
25,bsdtar,AFLPP,1,2474,2
26,bsdtar,AFLPP,1,2572,3
27,bsdtar,AFLPP,1,2817,4
28,bsdtar,AFLPP,1,2837,5
29,bsdtar,AFLPP,1,2878,6
30,bsdtar,AFLPP,1,2902,7
31,bsdtar,AFLPP,1,2964,8
32,bsdtar,AFLPP,1,2999,9
33,bsdtar,AFLPP,1,3000,10
34,bsdtar,AFLPP,1,3020,11
35,bsdtar,AFLPP,1,3054,12
36,bsdtar,AFLPP,1,3057,13
37,bsdtar,AFLPP,1,3252,14
38,bsdtar,AFLPP,1,3264,15
39,bsdtar,AFLPP,1,3279,16
40,bsdtar,AFLPP,1,3283,17
41,bsdtar,AFLPP,1,3288,18
42,bsdtar,AFLPP,1,3289,19
43,bsdtar,AFLPP,1,3289,20
44,bsdtar,AFLPP,1,4028,21
45,bsdtar,AFLPP,1,4161,22
46,bsdtar,AFLPP,1,4620,23
47,bsdtar,AFLPP,1,4652,24
48,bsdtar,AFLPP,2,2352,1
49,bsdtar,AFLPP,2,2532,2
50,bsdtar,AFLPP,2,2534,3
51,bsdtar,AFLPP,2,2542,4
52,bsdtar,AFLPP,2,2623,5
53,bsdtar,AFLPP,2,2825,6
54,bsdtar,AFLPP,2,2972,7
55,bsdtar,AFLPP,2,3010,8
56,bsdtar,AFLPP,2,3014,9
57,bsdtar,AFLPP,2,3055,10
58,bsdtar,AFLPP,2,3131,11
59,bsdtar,AFLPP,2,3945,12
60,bsdtar,AFLPP,2,4560,13
61,bsdtar,AFLPP,2,4579,14
62,bsdtar,AFLPP,2,4647,15
63,bsdtar,AFLPP,2,4666,16
64,bsdtar,AFLPP,2,4673,17
65,bsdtar,AFLPP,2,4684,18
66,bsdtar,AFLPP,2,4689,19
67,bsdtar,AFLPP,2,4710,20
68,bsdtar,AFLPP,2,4759,21
69,bsdtar,AFLPP,2,4769,22
70,bsdtar,AFLPP,2,4785,23
71,bsdtar,AFLPP,2,4788,24
72,bsdtar,AFLPP,3,2413,1
73,bsdtar,AFLPP,3,2513,2
74,bsdtar,AFLPP,3,2520,3
75,bsdtar,AFLPP,3,3158,4
76,bsdtar,AFLPP,3,3344,5
77,bsdtar,AFLPP,3,3409,6
78,bsdtar,AFLPP,3,3451,7
79,bsdtar,AFLPP,3,3561,8
80,bsdtar,AFLPP,3,4097,9
81,bsdtar,AFLPP,3,4179,10
82,bsdtar,AFLPP,3,4205,11
83,bsdtar,AFLPP,3,4218,12
84,bsdtar,AFLPP,3,4472,13
85,bsdtar,AFLPP,3,4547,14
86,bsdtar,AFLPP,3,4562,15
87,bsdtar,AFLPP,3,4587,16
88,bsdtar,AFLPP,3,4627,17
89,bsdtar,AFLPP,3,4627,18
90,bsdtar,AFLPP,3,4652,19
91,bsdtar,AFLPP,3,4652,20
92,bsdtar,AFLPP,3,4729,21
93,bsdtar,AFLPP,3,4736,22
94,bsdtar,AFLPP,3,4737,23
95,bsdtar,AFLPP,3,4739,24
96,bsdtar,AFLPP,4,2501,1
97,bsdtar,AFLPP,4,2517,2
98,bsdtar,AFLPP,4,2517,3
99,bsdtar,AFLPP,4,2797,4
100,bsdtar,AFLPP,4,3765,5
101,bsdtar,AFLPP,4,4211,6
102,bsdtar,AFLPP,4,4312,7
103,bsdtar,AFLPP,4,4383,8
104,bsdtar,AFLPP,4,4418,9
105,bsdtar,AFLPP,4,4428,10
106,bsdtar,AFLPP,4,4435,11
107,bsdtar,AFLPP,4,4453,12
108,bsdtar,AFLPP,4,4456,13
109,bsdtar,AFLPP,4,4458,14
110,bsdtar,AFLPP,4,4490,15
111,bsdtar,AFLPP,4,4507,16
112,bsdtar,AFLPP,4,4601,17
113,bsdtar,AFLPP,4,4622,18
114,bsdtar,AFLPP,4,4625,19
115,bsdtar,AFLPP,4,4625,20
116,bsdtar,AFLPP,4,4630,21
117,bsdtar,AFLPP,4,4630,22
118,bsdtar,AFLPP,4,4630,23
119,bsdtar,AFLPP,4,4630,24
120,bsdtar,AFLPP,5,2430,1
121,bsdtar,AFLPP,5,2564,2
122,bsdtar,AFLPP,5,2631,3
123,bsdtar,AFLPP,5,2671,4
124,bsdtar,AFLPP,5,2906,5
125,bsdtar,AFLPP,5,2938,6
126,bsdtar,AFLPP,5,2988,7
127,bsdtar,AFLPP,5,3025,8
128,bsdtar,AFLPP,5,3046,9
129,bsdtar,AFLPP,5,3046,10
130,bsdtar,AFLPP,5,3046,11
131,bsdtar,AFLPP,5,3047,12
132,bsdtar,AFLPP,5,3101,13
133,bsdtar,AFLPP,5,3108,14
134,bsdtar,AFLPP,5,3108,15
135,bsdtar,AFLPP,5,3109,16
136,bsdtar,AFLPP,5,3513,17
137,bsdtar,AFLPP,5,3996,18
138,bsdtar,AFLPP,5,4099,19
139,bsdtar,AFLPP,5,4124,20
140,bsdtar,AFLPP,5,4130,21
141,bsdtar,AFLPP,5,4145,22
142,bsdtar,AFLPP,5,4150,23
143,bsdtar,AFLPP,5,4161,24
144,bsdtar,AFLPP,6,2351,1
145,bsdtar,AFLPP,6,2368,2
146,bsdtar,AFLPP,6,2388,3
147,bsdtar,AFLPP,6,2392,4
148,bsdtar,AFLPP,6,2995,5
149,bsdtar,AFLPP,6,3126,6
150,bsdtar,AFLPP,6,3381,7
151,bsdtar,AFLPP,6,3435,8
