,project,fuzzer,run,nodes_reached,nodes_flipped
0,objdump,HasteFuzz+C,004,2400,1137
1,objdump,HasteFuzz+C,006,2418,1191
2,objdump,HasteFuzz+C,003,2420,1205
3,objdump,HasteFuzz+C,002,2385,1163
4,objdump,HasteFuzz+C,008,2417,1210
5,objdump,HasteFuzz+C,005,2297,1134
6,objdump,HasteFuzz+C,009,2425,1205
7,objdump,HasteFuzz+C,007,2514,1230
8,objdump,HasteFuzz+C,001,2474,1210
9,objdump,HasteFuzz+C,000,2430,1205
10,tcpdump,FOX,004,6695,3630
11,tcpdump,FOX,006,6747,3684
12,tcpdump,FOX,003,5860,3175
13,tcpdump,FOX,002,7023,3813
14,tcpdump,FOX,008,7155,3852
15,tcpdump,FOX,005,6501,3550
16,tcpdump,FOX,009,6705,3677
17,tcpdump,FOX,007,6906,3739
18,tcpdump,FOX,001,6465,3521
19,tcpdump,FOX,000,5955,3143
20,xmllint,AFLPP+C,004,2472,942
21,xmllint,AFLPP+C,006,2413,902
22,xmllint,AFLPP+C,003,2514,946
23,xmllint,AFLPP+C,002,2375,890
24,xmllint,AFLPP+C,008,2382,892
25,xmllint,AFLPP+C,005,2317,844
26,xmllint,AFLPP+C,009,2446,891
27,xmllint,AFLPP+C,007,2437,919
28,xmllint,AFLPP+C,001,2340,853
29,xmllint,AFLPP+C,000,2391,897
30,readelf,FOX,004,1380,996
31,readelf,FOX,006,1344,955
32,readelf,FOX,003,1527,1098
33,readelf,FOX,002,1340,946
34,readelf,FOX,008,1559,1101
35,readelf,FOX,005,1500,1056
36,readelf,FOX,009,1512,1074
37,readelf,FOX,007,1702,1227
38,readelf,FOX,001,1523,1090
39,readelf,FOX,000,1367,973
40,jasper,HasteFuzz,004,1534,527
41,jasper,HasteFuzz,006,1524,515
42,jasper,HasteFuzz,003,1485,481
43,jasper,HasteFuzz,002,1429,469
44,jasper,HasteFuzz,008,1567,540
45,jasper,HasteFuzz,005,1553,542
46,jasper,HasteFuzz,009,1602,558
47,jasper,HasteFuzz,007,1464,492
48,jasper,HasteFuzz,001,1588,546
49,jasper,HasteFuzz,000,1410,448
50,pdftotext,FOX+D,004,1345,459
51,pdftotext,FOX+D,006,1385,468
52,pdftotext,FOX+D,003,1509,484
53,pdftotext,FOX+D,002,2309,977
54,pdftotext,FOX+D,008,1510,485
55,pdftotext,FOX+D,005,2499,1031
56,pdftotext,FOX+D,009,1499,470
57,pdftotext,FOX+D,007,1333,441
58,pdftotext,FOX+D,001,1408,458
59,pdftotext,FOX+D,000,1433,466
60,tcpdump,FOX+D,004,7265,3989
61,tcpdump,FOX+D,006,6138,3433
62,tcpdump,FOX+D,003,6214,3452
63,tcpdump,FOX+D,002,7179,3961
64,tcpdump,FOX+D,008,6996,3924
65,tcpdump,FOX+D,005,6676,3685
66,tcpdump,FOX+D,009,7060,3965
67,tcpdump,FOX+D,007,7183,3999
68,tcpdump,FOX+D,001,6514,3577
69,tcpdump,FOX+D,000,6936,3855
70,objdump,FOX,004,2696,1326
71,objdump,FOX,006,2539,1341
72,objdump,FOX,003,2734,1266
73,objdump,FOX,002,2860,1409
74,objdump,FOX,008,2840,1402
75,objdump,FOX,005,2701,1407
76,objdump,FOX,009,2810,1358
77,objdump,FOX,007,2682,1409
78,objdump,FOX,001,2918,1460
79,objdump,FOX,000,2676,1302
80,tiffcrop,HasteFuzz+C,004,3509,1666
81,tiffcrop,HasteFuzz+C,006,3659,1835
82,tiffcrop,HasteFuzz+C,003,3637,1789
83,tiffcrop,HasteFuzz+C,002,3587,1702
84,tiffcrop,HasteFuzz+C,008,3547,1730
85,tiffcrop,HasteFuzz+C,005,3480,1665
86,tiffcrop,HasteFuzz+C,009,3688,1821
87,tiffcrop,HasteFuzz+C,007,3658,1821
88,tiffcrop,HasteFuzz+C,001,3641,1790
89,tiffcrop,HasteFuzz+C,000,3647,1801
90,size,AFLPP+CD,004,1296,675
91,size,AFLPP+CD,006,1401,697
92,size,AFLPP+CD,003,1284,668
93,size,AFLPP+CD,002,1277,651
94,size,AFLPP+CD,008,1297,672
95,size,AFLPP+CD,005,1309,680
96,size,AFLPP+CD,009,1385,703
97,size,AFLPP+CD,007,1292,679
98,size,AFLPP+CD,001,1280,655
99,size,AFLPP+CD,000,1205,626
100,exiv2,FOX,004,3771,896
101,exiv2,FOX,006,4458,1067
102,exiv2,FOX,003,3798,897
103,exiv2,FOX,002,3888,933
104,exiv2,FOX,008,3865,937
105,exiv2,FOX,005,3788,897
106,exiv2,FOX,009,3871,942
107,exiv2,FOX,007,4179,1074
108,exiv2,FOX,001,3866,934
109,exiv2,FOX,000,3804,899
110,size,AFLPP,004,1258,620
111,size,AFLPP,006,1174,583
112,size,AFLPP,003,1215,613
113,size,AFLPP,002,1254,631
114,size,AFLPP,008,1261,648
115,size,AFLPP,005,1217,636
116,size,AFLPP,009,1275,651
117,size,AFLPP,007,1140,588
118,size,AFLPP,001,1257,635
119,size,AFLPP,000,1226,585
120,ffmpeg,HasteFuzz+C,004,8927,3827
121,ffmpeg,HasteFuzz+C,006,9218,4361
122,ffmpeg,HasteFuzz+C,003,9358,4329
123,ffmpeg,HasteFuzz+C,002,8719,3866
124,ffmpeg,HasteFuzz+C,008,9301,4328
125,ffmpeg,HasteFuzz+C,005,8543,4171
126,ffmpeg,HasteFuzz+C,009,9703,4277
127,ffmpeg,HasteFuzz+C,007,7979,3683
128,ffmpeg,HasteFuzz+C,001,8298,3757
129,ffmpeg,HasteFuzz+C,000,8660,3895
130,pdftotext,AFLPP+C,004,1338,444
131,pdftotext,AFLPP+C,006,1409,436
132,pdftotext,AFLPP+C,003,1340,452
133,pdftotext,AFLPP+C,002,1403,427
134,pdftotext,AFLPP+C,008,1331,441
135,pdftotext,AFLPP+C,005,1410,461
136,pdftotext,AFLPP+C,009,1320,418
137,pdftotext,AFLPP+C,007,1367,450
138,pdftotext,AFLPP+C,001,1352,429
139,pdftotext,AFLPP+C,000,1337,436
140,jasper,AFLPP+CD,004,1629,586
141,jasper,AFLPP+CD,006,1817,687
142,jasper,AFLPP+CD,003,1669,605
143,jasper,AFLPP+CD,002,1758,672
144,jasper,AFLPP+CD,008,1599,571
145,jasper,AFLPP+CD,005,1664,594
146,jasper,AFLPP+CD,009,1614,588
147,jasper,AFLPP+CD,007,1763,686
148,jasper,AFLPP+CD,001,1654,588
149,jasper,AFLPP+CD,000,1789,666
150,tiffcrop,AFLPP+C,004,3644,1830
151,tiffcrop,AFLPP+C,006,3598,1783
152,tiffcrop,AFLPP+C,003,3742,1890
153,tiffcrop,AFLPP+C,002,3683,1858
154,tiffcrop,AFLPP+C,008,3571,1756
155,tiffcrop,AFLPP+C,005,3673,1831
156,tiffcrop,AFLPP+C,009,3607,1788
157,tiffcrop,AFLPP+C,007,3694,1870
158,tiffcrop,AFLPP+C,001,3546,1718
159,tiffcrop,AFLPP+C,000,3661,1796
160,tiff2pdf,AFLPP+C,004,3207,1477
161,tiff2pdf,AFLPP+C,006,3229,1495
162,tiff2pdf,AFLPP+C,003,3330,1531
163,tiff2pdf,AFLPP+C,002,3359,1565
164,tiff2pdf,AFLPP+C,008,3297,1532
165,tiff2pdf,AFLPP+C,005,3242,1497
166,tiff2pdf,AFLPP+C,009,3017,1344
167,tiff2pdf,AFLPP+C,007,3279,1491
168,tiff2pdf,AFLPP+C,001,3101,1428
169,tiff2pdf,AFLPP+C,000,3207,1506
